class,precision,recall,f1-score,support
Apple___Apple_scab,0.9894736842105263,1.0,0.9947089947089947,94
Apple___Black_rot,0.9789473684210527,1.0,0.9893617021276596,93
Apple___Cedar_apple_rust,1.0,0.9512195121951219,0.975,41
Apple___healthy,0.9919354838709677,0.9959514170040485,0.9939393939393939,247
Blueberry___healthy,0.995575221238938,1.0,0.9977827050997783,225
Cherry_(including_sour)___Powdery_mildew,1.0,0.9936708860759493,0.9968253968253968,158
Cherry_(including_sour)___healthy,1.0,0.9921875,0.996078431372549,128
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8674698795180723,0.935064935064935,0.9,77
Corn_(maize)___Common_rust_,0.9943181818181818,0.9776536312849162,0.9859154929577465,179
Corn_(maize)___Northern_Leaf_Blight,0.9452054794520548,0.9324324324324325,0.9387755102040817,148
Corn_(maize)___healthy,1.0,1.0,1.0,174
Grape___Black_rot,0.9887640449438202,0.9943502824858758,0.9915492957746479,177
Grape___Esca_(Black_Measles),0.9951456310679612,0.9903381642512077,0.9927360774818402,207
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9937888198757764,0.9968847352024922,161
Grape___healthy,0.984375,1.0,0.9921259842519685,63
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,826
Peach___Bacterial_spot,0.9773371104815864,1.0,0.9885386819484241,345
Peach___healthy,0.9782608695652174,0.8333333333333334,0.9,54
"Pepper,_bell___Bacterial_spot",0.9933774834437086,1.0,0.9966777408637874,150
"Pepper,_bell___healthy",1.0,1.0,1.0,222
Potato___Early_blight,0.9932885906040269,0.9866666666666667,0.9899665551839465,150
Potato___Late_blight,1.0,0.98,0.98989898989899,150
Potato___healthy,1.0,0.9130434782608695,0.9545454545454546,23
Raspberry___healthy,1.0,1.0,1.0,56
Soybean___healthy,0.9986910994764397,0.9986910994764397,0.9986910994764397,764
Squash___Powdery_mildew,1.0,1.0,1.0,275
Strawberry___Leaf_scorch,1.0,1.0,1.0,166
Strawberry___healthy,1.0,1.0,1.0,68
Tomato___Bacterial_spot,0.9814241486068112,0.9937304075235109,0.9875389408099688,319
Tomato___Early_blight,0.9927536231884058,0.9133333333333333,0.9513888888888888,150
Tomato___Late_blight,0.9692832764505119,0.993006993006993,0.9810017271157168,286
Tomato___Leaf_Mold,0.9647887323943662,0.958041958041958,0.9614035087719298,143
Tomato___Septoria_leaf_spot,0.9739776951672863,0.9849624060150376,0.9794392523364486,266
Tomato___Spider_mites Two-spotted_spider_mite,0.9871244635193133,0.9163346613545816,0.9504132231404959,251
Tomato___Target_Spot,0.9013452914798207,0.95260663507109,0.9262672811059908,211
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.996268656716418,0.9981308411214953,804
Tomato___Tomato_mosaic_virus,1.0,0.9821428571428571,0.990990990990991,56
Tomato___healthy,0.952191235059761,1.0,0.9755102040816327,239
